study,year,gender,rr,ci_lower,ci_upper,weight
"Rissanen et al.",2021,"M",1.59,0.73,3.45,0.54
"Rissanen et al.",2021,"W",0.92,0.65,1.30,2.25
"Ko et al.",2020,"W",0.98,0.96,1.00,10.80
"Kim et al.",2019,"M/W",0.93,0.82,1.05,7.34
"Rangul et al.",2018,"M",0.69,0.48,0.99,2.10
"Rangul et al.",2018,"W",1.05,0.63,1.76,1.16
"Laaksonen et al.",2018,"M/W",0.82,0.73,0.92,7.66
"Patel et al.",2017,"M/W",0.83,0.74,0.93,7.71
"Wang et al.",2016,"W",0.90,0.79,1.03,6.99
"Park et al.",2013,"M",0.89,0.83,0.95,9.55
"Leitzmann et al.",2009,"M/W",0.78,0.72,0.85,8.96
"Sinner et al.",2006,"M",0.77,0.64,0.94,5.01
"Steindorf et al.",2006,"M",1.00,0.79,1.27,3.90
"Steindorf et al.",2006,"W",0.99,0.76,1.30,3.30
"Schnohr et al.",2005,"M",0.92,0.72,1.18,3.70
"Schnohr et al.",2005,"W",1.06,0.71,1.60,1.74
"Colbert et al.",2002,"M",0.97,0.87,1.07,8.15
"Lee et al.",1999,"M",0.60,0.38,0.96,1.39
"Thune et al.",1997,"M",0.71,0.52,0.97,2.66
"Thune et al.",1997,"W",0.99,0.35,2.78,0.31
"Knekt et al.",1996,"M",0.45,0.17,1.18,0.35
"Severson et al.",1989,"M",0.80,0.60,1.06,3.04
"Albanes et al.",1989,"M",1.11,0.70,1.76,1.40
